name	1700	1701	1702	1703	1704	1705	1706	1707	1708	1709	1710	1712	1714	1716	1717	1718	1719	1720	1721	1722	1723	1724	1725	1726	1727	1729	1730	1731	1732	1733	1734	1735	1736	1737	1738	1739	1740	1741	1742	1743	1744	1745	1746	1747	1748	1749	1750	1751	1752	1753	1754	1755	1756	1757	1758	1759	1760	1761	1762	1763	1764	1765	1766	1767	1768	1769	1770	1771	1772	1773	1774	1775	1776	1777	1778	1779	1780	1782	1783	1786	1787	1788	1789	1790	1791	1793	1794	1795	1796	1797	1798	1799	1800
Torn/Mutilated	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	10	8	9	11	7	3	17	3	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Missing Value	2	3	1	2	4	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	1	2	1	2	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	2	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Generic	0	7	2	4	6	2	2	3	0	2	2	2	1	1	1	2	3	1	1	0	1	1	0	0	1	1	4	1	3	0	0	0	1	0	1	0	1	0	2	4	1	1	5	2	6	3	7	9	7	2	8	4	4	8	3	2	5	5	5	1	4	5	1	1	1	2	6	2	6	4	5	2	4	1	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Problem	2	9	3	5	7	3	2	3	1	2	2	2	1	1	1	2	5	1	1	0	2	1	0	1	2	2	4	2	5	1	0	0	1	0	1	0	1	0	2	4	1	3	5	2	6	3	8	11	7	2	8	4	5	8	3	3	7	11	9	9	12	8	3	17	4	3	8	3	7	5	6	3	4	1	0	2	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0
Fem Dead	2	1	2	1	1	1	0	1	0	0	0	0	1	1	0	0	1	0	1	1	1	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	1	1	0	0	1	2	2	2	5	3	2	6	5	0	2	1	2	3	3	2	3	3	2	1	3	2	2	5	4	0	2	2	2	5	6	3	1	1	3	3	6	0	0	0	0	1	1	0	0	1	0	1	1	0	1	1	0
Fem Mentnd	2	4	1	3	6	7	5	1	2	4	2	1	1	1	1	1	3	3	0	0	0	0	0	0	3	1	4	1	5	1	1	2	2	1	2	1	2	0	1	2	1	5	0	0	2	3	4	3	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
Both Fem	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Either Fem	3	5	3	4	7	8	5	2	2	4	2	1	1	2	1	1	3	3	1	1	1	1	0	0	3	2	4	2	5	2	1	2	2	1	2	1	3	1	1	2	2	5	2	2	7	6	6	8	5	0	2	1	3	3	3	3	3	3	2	1	3	2	2	6	4	0	2	2	2	6	6	4	1	1	3	3	6	0	0	0	0	1	1	0	0	1	0	1	2	0	1	1	0
Bonded	1	6	3	5	6	5	2	3	1	1	1	1	0	2	0	2	5	3	1	0	0	0	0	0	4	3	7	2	4	2	1	1	3	0	3	2	3	0	4	6	2	6	6	5	12	11	10	13	10	5	6	7	6	13	13	7	5	9	7	7	8	7	5	14	9	5	8	10	11	9	7	6	4	5	4	8	7	4	1	1	1	3	5	3	2	2	5	0	4	4	1	7	2
