"Total Estate Value","Generic",3465.0186437599996
"Total Estate Value","Spinning",19.32885075
"Total Estate Value","Chickens",28.99327612
"Total Estate Value","Earthen",44.45635672
"Total Estate Value","Chamber Pots",28.99327612
"Total Estate Value","Laundry",86.33553332700001
"Total Estate Value","Dairy",14.49663806
"Total Estate Value","Brew",1008.9660088640001
"Total Estate Value","Household Linens",2809.44845594
"Total Estate Value","Textile",413.63740601
"Total Estate Value","Hunt/War",86.979828353
"Total Estate Value","Bed",3770.3339486320006
"Total Estate Value","Furniture",2085.582995526
"Total Estate Value","Seating",252.724723473
"Total Estate Value","Cookware",1147.811586694
"Total Estate Value","Interior Lighting",222.28178361599998
"Total Estate Value","Tea",91.81204104
"Total Estate Value","Diningware",110.174449256
"Total Estate Value","Timekeeping",154.630806
"Total Estate Value","Decorative",240.64419178400004
"Total Estate Value","Cleaning",28.026833578
"Total Estate Value","Slaves",8272.748119700002
"Total Estate Value","Farm Animals",3347.7569493200003
"Total Estate Value","Specialized Tool",48.322126870000005
"Total Estate Value","Food",359.8387713890001
"Total Estate Value","Alcohol",3956.6157476499993
"Total Estate Value","Silver Plate",2955.38127906
"Bed","To 1 bed & furniture",231.946209
"Bed","To 1 bed & furniture",231.946209
"Furniture","7 Cane Chairs",44.45635672
"Furniture","1 Chest a Table & Some Duck",38.65770149
"Laundry","1 pr. hand Irons",9.664425373
"Bed","2 Cattail bed & 1 feather Do.",212.6173582
"Bed","2 feather beds & furniture",502.5501194
"Cleaning","1 Table Chair's & broom",16.42952313
"Generic","To Sundry Goods in the Cuddy",212.6173582
"Bed","1 feather bed & furniture",270.6039104
"Household Linens","8 pr. of Window Curtains",77.31540298
"Bed","1 Trussel bed & furniture",115.9731045
"Textile","16½ Ells holland",154.630806
"Bed","1 bed Cord",2.899327612
"Cookware","1 bred basket",2.899327612
"Brew","16½ lb. Worsted",57.98655224
"Furniture","2 Chests",24.16106343
"Seating","5 leather Chairs",24.16106343
"Textile","3½ Ells of Sheeting Canvass",14.49663806
"Decorative","1 looking Glass",77.31540298
"Furniture","2 Tables",33.82548881
"Generic","1 press & Several things in it",183.6240821
"Food","18 lb of double Refined Sugar",52.18789701
"Food","51 lb. of white powder Do",77.31540298
"Laundry","1 pr. hand Irons",38.65770149
"Decorative","3 pictures",9.664425373
"Decorative","1 bell",6.765097761
"Food","2 Sugar Potts",4.832212686
"Laundry","1 box Iron & heater",5.798655224
"Furniture","1 Table & Chest",43.48991418
"Furniture","4 Tables",212.6173582
"Household Linens","1 Napkin press",48.32212686
"Seating","14 leather Chairs",135.3019552
"Decorative","1 large looking Glass",96.64425373
"Earthen","A parcell of Earthen Ware",23.1946209
"Laundry","1 pr. hand Irons",32.21475124
"Generic","1 fire Shovell & Tongs",3.865770149
"Decorative","1 Mugg & Pictures",13.53019552
"Bed","1 bed & furniture",135.3019552
"Hunt/War","2 Gunns",28.99327612
"Spinning","1 Spinning Wheel",19.32885075
"Furniture","1 Table",15.4630806
"Furniture","1 Table & wood horse",5.798655224
"Seating","4 Chairs",46.38924179
"Bed","2 beds furniture & Trussel",173.9596567
"Textile","a parcell of Cotton",11.59731045
"Household Linens","1 Sett Curtains & Vallens & box",115.9731045
"Generic","1 old [Daro?] & box",59.91943731
"Hunt/War","1 Dagger",9.664425373
"Generic","To Sundry things in a [Daro?]",57.98655224
"Timekeeping","1 Watch",154.630806
"Furniture","1 Japann'd Chest of Drawers Table bed looking Glass 1 Chair",966.4425373
"Bed","1 bed & furniture",309.2616119
"Specialized Tool","1 Trussell",14.49663806
"Furniture","2 Tables",77.31540298
"Generic","1 pr. hand Irons Shovell & Tongs",28.99327612
"Earthen","a parcell of Earthen Ware",21.26173582
"Diningware","Glasses & China Cups",14.49663806
"Textile","4 Ells of Virga. Cotton",115.9731045
"Food","2 ps. of Cherry Derrys",96.64425373
"Textile","3 ps. of Callico",101.4764664
"Bed","1 press bed",57.98655224
"Furniture","1 dozn. of new Cane Stools",57.98655224
"Seating","2 old Chairs",2.416106343
"Bed","1 bed & furniture",270.6039104
"Seating","4 Chairs",30.92616119
"Cleaning","2 Mops",5.798655224
"Furniture","1 Table",9.664425373
"Cleaning","1 brush",2.899327612
"Furniture","1 black Walnut Table",34.79193134
"Bed","1 Couch bed",42.52347164
"Bed","1 bed",48.32212686
"Bed","2 pr. blanketts",85.04694328
"Bed","1 bed",77.31540298
"Household Linens","1 Rugg",38.65770149
"Bed","1 bed",154.630806
"Bed","1 bed & bed stead",173.9596567
"Bed","1 bed & furniture",231.946209
"Furniture","1 Chest of Draws",154.630806
"Decorative","1 dressing Glass",14.49663806
"Furniture","2 Tables",96.64425373
"Household Linens","1 Carpet",38.65770149
"Furniture","6 Cane Chairs",57.98655224
"Furniture","1 Couch & Squob",48.32212686
"Tea","1 Tea Table & furniture",67.65097761
"Specialized Tool","2 pr. money Scales",33.82548881
"Furniture","1 Trunk",3.865770149
"Generic","1 pr. Doggs fire Shovell & Tongs",28.99327612
"Generic","To Sundry Goods in the Closet",432.9662567
"Generic","1 Desk & Severall things in it",96.64425373
"Generic","To Do",17.39596567
"Generic","To Do",5.798655224
"Bed","1 bed & furniture",347.9193134
"Furniture","3 Trunks",57.98655224
"Furniture","1 Chest of Draws",38.65770149
"Household Linens","7 pr. Ozna. Sheets.",94.22814739
"Furniture","2 Chests & Boxes",28.99327612
"Seating","4 Chairs",13.53019552
"Furniture","1 Cotton hammock",33.82548881
"Generic","a parcell of new Goods",126.6039724
"Bed","53 pillowbers",64.0268181
"Household Linens","Towells",42.52347164
"Household Linens","To Do",21.74495709
"Household Linens","Table Cloths & Napkins",1437.100053
"Household Linens","Sheets",894.9257895
"Generic","1 pr. Tongs & bellows",6.765097761
"Silver Plate","256 Ounces of Plate 5/6",2721.502185
"Generic","1 fire Shovell & Tongs",7.731540298
"Decorative","1 looking Glass & basket",22.22817836
"Silver Plate","4 Oz. of burnt Silver",30.92616119
"Alcohol","1 pipe. of Sower Wine",193.2885075
"Alcohol","52 Gallons of Madera Wine",270.6039104
"Alcohol","22 bottles of Canary",119.8388746
"Alcohol","3 hhds. of Cyder",115.9731045
"Alcohol","4½ doz. of Red port",173.9596567
"Alcohol","3 doz. & 10 bottles of Sower Wine",38.65770149
"Alcohol","13 qts. of Renis",75.38251791
"Alcohol","2½ doz. & 1 [qt. pt] Do",176.8589843
"Alcohol","6 Doz. & 4 bottles Rennish",220.3488985
"Alcohol","3 doz. & 9 bottles of Red Port",144.9663806
"Alcohol","1 doz. & 7 Do",64.42950249
"Alcohol","4 doz. & 2 Do",161.0737562
"Alcohol","4 doz. & 4 Do",167.5167065
